comment,sentiment
hi would please consider pull request perhaps could share list people write repository could contact,neutral
please create separate pull request fix,neutral
something like might fix else word word better check make sure end case next lap,positive
pull request invalid pull request closed none marked important go mark relevant pull request please read facing problem mark please read following read point one time think relevant pull request mark square bracket like note put letter symbol marked invalid case please open new pull request appropriate,positive
hello student context free development course contribute project hope contribution meet,positive
kindly assign issue work,positive
hello new open source would love start working issue leave,positive
hello get go ahead start fixing issue,neutral
hi beginner open source,neutral
could contribute observing configuration configuration used run might different configuration used check configuration configure ensure configuration consistent environment environment make sure environment set consistently running directly running file context way might affect file contextual information ensure context identical compatible version make sure version used version running behavior could also explain additional type make sure correctly command line command line even small lead different behavior,positive
pull request invalid pull request closed invalid extension repository python please read first invalid pull request python course algorithm,positive
interesting could bit descriptive testing part exactly would approach conjecture without brute force,positive
added helper function help also added user input,neutral
hi beginner open source give solve problem work issue,neutral
mean wrong talking ruff check failing know change anything,negative
need describe wan na commit actually service option algorithm however could found right option tick,positive
working lot time far never like limited time deeply interest open pull evidence trend however allow dedicate time move python forward,positive
use ruff format python code faster black highly compatible,negative
hello issue facing fact list lined remove method instead use remove function container axis case el para la de la actual self none else draw true line draw marker highlight last point refresh canvas remove image try except pas,positive
hi please could review merge thanks,positive
instead typically data used training model data used trained model performance help distinguish training testing phase provided code used prediction consistency acceptable long clear code context naming may vary,negative
data put neural network train neural network test data inference given line python return test input,neutral
algorithm dynamic depending different function assigned,neutral
multiple pull request extremely excited want submit multiple repository limit many pull request user keep open time make sure focus limited number pull time maintain quality code pull request closed user already open pull request please focus previous pull request opening another one thank user pull one,positive
let use ruff instead written rust much faster,positive
hi thank hard work project let know pull last day would really appreciate one could take look let know anything need fixed thanks hard work,negative
put simply please visit link wrong algorithm bubble sort rather selection sort lift relevant markdown directly resolve issue way easily opening,positive
literally fix found markdown need correct fixed spent time correcting,neutral
lost trying figure work go already get could let know already enough click list scroll get list sort kept date every time pull request want manual unsorted list better user experience customary easier find information best case worst case,positive
issue fixed please revert file,positive
git pull remove exclude run following local machine install run problem running allow made,neutral
please let know done,neutral
support idea although repository seem change often straightforward remove default important opinion warning missing document start error many hyphen error wrong indentation found indentation warning comment warning missing document start warning missing document start error line long error line long error line long error line long error line long error line long error line long error line long warning missing document start warning truthy value one false true truthy warning comment warning missing document start warning truthy value one false true truthy error line long warning comment error line long warning missing document start warning truthy value one false true truthy error line long warning missing document start warning truthy value one false true truthy error line long error line long warning missing document start warning missing document start error line long error line long warning missing document start warning missing document start error line long error line long look problem however scope,negative
let kind focus bigger let add file make automatic set filter hook type,positive
whole function related dont think set initially please review appropriate see new failing due function master branch,positive
havent taken time fully understand code function seem bit brittle doesnt seem coincidence fail new year little strange smaller number rather number well could limited,negative
fixed failing test havent taken time fully understand code given issue could indicative issue code,positive
list first recursion recent call last exception negative number recursion recent call last exception negative raise exception negative return return raise exception negative memo range memo return memo corrected code properly memo list also redundant original code efficient hope right way understanding problem,negative
hi made please let know additional function remainder solution remains unchanged original form also put description,positive
great path learn python,positive
