comment,sentiment
thanks much reply like notebook linked problem python recent call last cell line try import import name handling exception another exception recent call last module per device import context import function import name git python pip install pip install full execution via notebook,positive
hi version example sonnet,neutral
thanks help confirm work basic may new issue mention real hope run example able update bit python sonnet error unlikely fix python recent call last cell line return class self module attribute error already brought issue issue marked closed yet seeing version sonnet example tested sonnet removed thanks,positive
hi thread help unblock sonnet,neutral
hi like backwards incompatibility latest version fixed sonnet since install head python pip install example look pushing new release new year keep biting people thanks,positive
checked sure giving link pip install pip pip install upgrade import import sonnet print version print sonnet version requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied gast requirement already satisfied requirement already satisfied six requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied decorator requirement already satisfied requirement already satisfied tabulate requirement already satisfied wheel requirement already satisfied requirement already satisfied requirement already satisfied markdown requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied markdown requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied markdown requirement already satisfied requirement already satisfied collected found installation outside environment ca found successfully notice new release pip available notice update run pip install upgrade pip requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied tabulate requirement already satisfied requirement already satisfied notice new release pip available notice update run pip install upgrade pip version sonnet version,positive
bot telling thought may fix problem sorry didnt work still code see there anything else,negative
specifically need one version docker talking update code compatibility alternatively modify code work version readily available via pip code reply bot,positive
nope version longer available via pip python error could find version requirement post error matching distribution found note test disconnect delete fresh environment please let know,positive
thanks reply coming back trying update sonnet version announce help see reply aware update sonnet version compatible current version pip install upgrade actually effect exact error try next,positive
issue facing compatibility problem sonnet use error message sonnet import module unable locate version want keep version sonnet downgrade pip install update sonnet version compatible current version pip install upgrade,negative
install sonnet mac working pair sonnet mac however could install pip install trying pip install longer work least python error could find version requirement error matching distribution found,negative
repository implement video example raw audio,negative
official document pretty clear inspect underlying graph,positive
hi comment linked information port code sonnet good luck code project,positive
post convert class sonnet sonnet would please tell exactly link converting,positive
familiar would suggest support issue tracker hopefully someone recipe generic guide could try follow,positive
thanks response exactly want link written version code want write limitation use save model format link hint,positive
hi possible implement require learning understanding sonnet want make use id model perhaps would simpler example id make video,neutral
thanks convert id model action recognition format format want load model retrain model sat wrote hi part sonnet like code wanting run work reply directly view id,positive
hi could rewrite use,neutral
hi part sonnet like code wanting run work,neutral
dear really feedback quality bot problem use redirect code correct branch fixed see link redirect correct snippet code thank much would ask problem finding important model evaluation test code general test moreover bot also issue also case component low value thank advance,positive
thanks whoever wrote bot pretty low value worth time would take link provided pointing wrong branch default branch master leave smelling,positive
hi indeed first error wrong sonnet package able downgrade afraid sonnet wonder wold happen old version satisfy install force,negative
unfortunately downgrade sonnet option issue sonnet gymnasium simulate train,negative
specific spot error older version sonnet still work would also work possibility though ca find way install older version also sonnet pip install switched instead source version however finding access older going try around see,positive
file sent found range range ca actually get close one tested maximum value minimum value perplexity greater,positive
perhaps anyone know meaning perplexity would better specific found file available perplexity look file hope helpful,positive
thanks going reach directly,positive
hi core sonnet read posted would suggest reaching directly top paper,positive
hi please see answer example exponential decay sonnet,neutral
gentle reminder regarding request,positive
probably paper author write calculation however problem implement naively well stop gradient operation thus work intended bug new understanding please close explanation right,positive
probably loss formula paper actually author write calculation however problem implement naively well stop gradient operation thus work intended bug new understanding,negative
hi public sonnet see example might write sonnet module method layer think layer quite easy create model model indeed type want familiar think,positive
thanks pull request like may first contribution open source project look pull request need sign contributor license agreement view invocation check information date status view section bottom pull request,positive
hi sonnet ship learning rate pas learning rate assign value variable result schedule python return lambda batch snip another example,neutral
afraid test glad got working hope sonnet maintenance mode point recommend migrate sonnet prefer would expect sonnet work pip install upgrade since pure python library native code,positive
install sonnet mac working pair sonnet mac however could install pip install,neutral
hi like got sonnet alongside want use need use sonnet march find installation need use sonnet example work legacy code please install pip think use pip install,neutral
python python import sonnet print print successfully dynamic library,neutral
thank informative would great addition,positive
thank yes see sense yes good idea might work rework code base anyways major importance make work reference thank nice offering tinker example come fix need spend time case since plan code quite bit see neither may ask would use training framework together sonnet saw come one box sonnet ship training framework build adopt built would recommend writing incorporate another like case bit context code base around sonnet estimator version example click version writing training framework least,negative
thanks sonnet built graph mode mind example add control stateful sure relax check think correctly subtle would give incorrect perhaps fix would wrap sonnet module passing estimator instance think might give sonnet need giving estimator need something run graph mode familiar estimator example play try come fix,positive
hi thank quick response simple mistake realize quite apparent assert behavior thank recommendation check version program correct version eager execution fact start program however disabled somewhere got curious look building top estimator digging around understanding estimator switch eager execution could case class definition estimator python compatibility eager calling estimator work eager execution however executed eagerly estimator switch graph mode calling code compatible graph mode execution note code generally work graph eager done prior sonnet thus believe reason eager execution disabled sure thank help wish wonderful day,positive
hi assertion sure top level thing eager execution make sure statement true assert evaluate assert true raise error suspect program actually would suggest running following check import print,positive
thanks pull request like may first contribution open source project look pull request need sign contributor license agreement information open check pull request,positive
hi example like might missing call example mixed routine check graph looking speed training general quick win would pas compile program,positive
thanks think leftover import threw error successfully,positive
sonnet error eager execution disabled way get sonnet working without eager execution hi sonnet designed work eagerly inside would guess error getting graph mode check make sure version check python import print,positive
hi memory freed eagerly model python something like python memory associated,neutral
hey thanks much trying migrate rest code fully confirm work working one sonnet error eager execution disabled way get sonnet working without eager execution,positive
main made add method decorator value old method correct actually move variable creation constructor prefer pattern used many module depend shape input module convenient first time run also deal previous call decorator method outside module understand reason simply got rid new module sure right need sonnet variable done regular python create create module reuse refer made lastly decorator original module even used seeing method every example seen use call method say method side effect sonnet entering name scope would clear name graph wo affect correctness performance might useful sonnet module enter name scope find code already sensible want know correctly make need control group since effectful assign happen program order would useful add name skip call use autograph feature convert python control flow control flow suggest constructor sonnet pick name based class name user pas one seem use accumulate argument version module work,positive
hi quite since used yes suggestion would work also query one model might bit robust would work even change,neutral
hi load attribute python param param param param loss work,neutral
hi sure need separate pretrain tune easiest way call example,positive
hi still confused apply different learning way something like python opt opt,negative
example notebook spectral norm linear module would need implement accordingly could use class follow notebook like logic python class convolution spectral self constructor super self return able function increment change,positive
perfect solution always help lot,positive
hi way request want train use instead python forward return tape forward loss loss cumbersome library one module want use context manager stop specific forward pas python forward return tape forward loss loss put example together,neutral
would work simply update newly pas input layer weight matrix need place code spectral norm,positive
built way monkey patch add print example every call method every module class,negative
hi wonder something specific setup install sonnet o package manager one thing note listed sonnet designed want use new almost definitely want please upgrade sonnet documentation installation cover sonnet,positive
hi thanks much response switched latest version fixed problem,positive
hi like bug autograph feature sonnet autograph enable u write code simple easy understand syntax work equivalently eager mode graph mode please ensure latest version see bug bug still file bug reproduce issue one thing potentially sonnet issue make use autograph try install latest version sonnet include fix bash pip install defer use autograph use feature perhaps lucky want sonnet require sonnet use autograph need wait bug get fixed file,positive
hi work correctly please make sure sonnet since documentation,positive
working example like defined sonnet substituted directly cell starting cell implement call method wonder example showing accomplish thanks,positive
anyone issue need hook detailed discussion like used sonnet without,positive
hi sonnet use autograph like autograph able locate python source code given function compatible way python sonnet depend would suggest raising bug bug sonnet fix,positive
hi familiar implementation guess architecture particular general work fine batch size,positive
hi made please review let know,neutral
via reason test suite failing via remember exact give another shot paste error,positive
sonnet pure python library unlike sonnet building standard python stanza python need use building sonnet branch latest master sonnet development effort meaning rename master check see today,positive
hi tried run notebook work please find notebook hope,neutral
sorry mistake particular model graph connected step need ensure none loss,negative
hi think call code able see method,positive
hi sonnet impose define pas find design guess module might look something like following python class self self return,neutral
found contributor license agreement sender pull request unable find commit author maybe used different address git used sign login double check someone else need sign well confirm order pas check please resolve problem comment fixed bot comment think anything information go,negative
awesome good thank yeah familiar version one,positive
thanks filing yes think would probably appropriate set since bit used indicate whether mutable variable update part forward pas training think want leave since mind send patch ask someone network review make sure missing something subtle land within week,positive
suggest taking look number impala sonnet use learner also include example gym,neutral
working summer internship building reinforcement learning system algorithm open gym environment trying solve special reinforcement learning problem want scalable architecture parallelize problem trying repurpose replace environment open gym instead deep mind lab anyone team might able give drinking check page latest wed wrote thanks pip install fixed problem check page latest tue wrote hi test think issue run following print version expect import version may want additionally try latest version rather last stable release pip install pip install reply directly view,positive
thanks pip install fixed problem check page latest tue wrote hi test think issue run following print version expect import version may want additionally try latest version rather last stable release pip install pip install reply directly view,positive
hi test think issue run following print version expect python import print version may want additionally try latest version rather last stable release python pip install pip install,positive
hey yes right appreciate quick clear explanation,positive
hi case would suggest two one model python model infer model infer general want put much code inside would suggest looking way put computation loss computation gradient computation update single example example straightforward make data parallel many following distributed example,positive
hi copy sonnet longer still find code master branch last commit found symbol found,neutral
upgrade worked guess somehow incompatible code thanks lot,positive
hi also tried original code without result still nan thought could environmental problem error coming,positive
hi quite lot code recognize least example notebook rather printing whole file might useful could highlight ran notebook free instance see gist far tell working correctly,positive
hi think issue sonnet issue depend use gast directly would suggest making sure latest version recently continue would suggest filing issue,positive
hi used sonnet need use reason find source sonnet master branch method defined recommend new use sonnet find documentation sonnet use discussion afraid,negative
thanks getting back without delay could find sonnet documentation use get process like,positive
come across issue believe following sufficient pip install,neutral
hi save model loading model back use,neutral
think public u hook recreate module sonnet module possible wrapper python class self super list self return path path note return straightforward use python class self self return use special loader assert assert assert assert,positive
pip install maybe use pip install solve,neutral
interesting think sonnet sonnet native code really need build tree,positive
sorry sonnet little thing see use installation thank may know however delay latest,negative
thanks writing neither sonnet tree afraid remain case way sonnet indeed building tree sonnet source note likely build source well reason,negative
hi sonnet implementation closely implementation also last batch norm residual block example accurate large training hour paper last batch norm easier training section setting last residual block signal initially propagate identity found ease optimization start answer question,positive
navigate doc folder left side directory path button click choose,neutral
