comment,sentiment
thanks reply relatively new anaconda python give insight came flaky inexperience work great good learning experience outstanding work part best march antic wrote run error seen like good start reply directly view thread message id,positive
thanks way unfortunately designed purely automatic colorization process opposed one manual like would trivial redesign either,negative
run error seen like good start,positive
wow went interesting got great read like project thanks,positive
yeah trouble link sure handled beyond scope project try address wish could help,positive
best guess open text editor stable image generator file see actually host page got saved file actual actually got link hit get,positive
issue resolved think getting time soon,neutral
work great apple silicon apple thing change version file change note support acceleration apple silicon run everything version run apple silicon tried training anything yet succeed getting run metal share another comment thanks awesome project,positive
use run work fine,positive
try use train model run get following warning empty recent call last file self try data return true data file self block raise empty empty exception direct cause following exception recent call last cell line file learn learn file self self false else self none fit self file self false else self none fit self file self learn name self learn learner path name super file self learn name none file self return file self self collection tensor new batch return file self detach try next iter finally detach file iter self iter self process yield file next self none data none file self return data assert data check file self success data success return data file self raise worker return false none worker unexpectedly turn virtual memory fix meet another issue given input size calculated output size output size small advice,positive
change code range print solve,neutral
ran notebook try training model put path found ran got exact error tried create manually luck error right figured solve,positive
see environment environment install stopped prematurely either something similar anyway try also say primarily tested sure kind may running,positive
believe project still year ca speak plan maintenance weather forecasting modeling,neutral
anything done facilitate project could sure beyond scope intended project core code inference ultimately function single image predict good place start,positive
never designed used like research code pretty easily thanks,positive
escort offer exciting escort contact booking without hesitation provide unforgettable time matter outside city service available day day week convenience,positive
many people might still view escort red light however many offering people indulge right person side able enjoy everything exotic movie day spa even ocean cruise,positive
looking service come right place one escort service specialize providing escort elite clientele book day choice time choice escort,positive
update problem cool able finally run,positive
understand might good add check error message otherwise decision seem deliberate anyway keep fork completely understand wanting put effort,positive
done tell really really awesome thank thank recognition great project contribute,positive
done tell really really awesome thank,positive
yeah deliberate decision aim make research freely available public made keep maintenance minimum one,positive
subscription stuff sure paying,positive
temporary issue hosting site working,neutral
link either longer used,neutral
training set used training used suggest trying day diverse,neutral
found really difference quality better quality video start yeah definitely something found advised past consider unfortunately even true later fancy commercial stuff upon quite bit ultimately inherently harder ai work poor quality running wow great hear,positive
firstly layer need freeze layer separately deliberate design decision honestly forget exact justification deliberate modify source code fork want experiment course secondly training portion resulting image put gan training clean put ended lot dirty data seeing evidence instability training especially blue top causing batch size without learning rate accordingly vice generally want halve learning rate halve batch size way around double mixed precision training naively never tried mixed precision particular commercial stuff tell art anything architecture without learning rate via learning rate finder hope,positive
hey give update trying use artistic feature video successfully leaving gray like nose bad give yellow possibly better red fog biggest issue second biggest would still gray tone usually like shaded found really difference quality better quality video start color amazing lower film resolution quality like good looking compare color believe already channel jeff bird cam getting really nice people colorization made possible bring back generation medium people might actually watch many big studio never thanks great tool running,positive
certainly could done pretty trivial beyond project strictly research one try venture territory end different people want,positive
yeah guess luck better way video avoid flickering make color upon tech closed source business option,positive
bit confused honestly program assuming talking want use video specific model link reason video specific model specifically address inconsistency expense lowering range color deliberate also tried still ideal,positive
bit confused honestly program assuming talking want use video specific model link reason video specific model specifically address inconsistency expense lowering range color deliberate,positive
sorry big ask simply wo time inclination work thing,negative
use file install via pip install isolated either python environment environment two avoid error seeing python version used mismatch possible two bug install process install case put explicit line case see pull request project honestly making project lately,positive
got working removed work thanks lot time let know like jeff may jeff wrote thanks know meant public facing forgotten actually tried way got error recent call last file line module result file line object attribute case curious basically want able try artistic method video red getting washed still get gray part head wearing hat want see get better plus add really good really good face restoration unfortunately good side back head yet face head amazing found version best far take whole person around crop head scary good idea error may antic wrote said caveat function public facing function meant hence following convention prefixed said function definition self path image image none path actually pas original first parameter derive file name pas result image second parameter image third parameter optional directory want put default behavior use normal result folder call like result hope reply directly view id,positive
thanks know meant public facing forgotten actually tried way got error recent call last file line module result file line object attribute case curious basically want able try artistic method video red getting washed still get gray part head wearing hat want see get better plus add really good really good face restoration unfortunately good side back head yet face head amazing found version best far take whole person around crop head scary good idea error may antic wrote said caveat function public facing function meant hence following convention prefixed said function definition self path image image none path actually pas original first parameter derive file name pas result image second parameter image third parameter optional directory want put default behavior use normal result folder call like result hope reply directly view id,positive
said caveat function public facing function meant hence following convention prefixed said function definition self path image image none path actually pas original first parameter derive file name pas result image second parameter image third parameter optional directory want put default behavior use normal result folder call like result hope,positive
thanks still issue saving file see documentation call example find function plot image say right click save sample code result original line idea try line image result know need pas print single image pas thanks jeff may antic wrote closed reply directly view id,positive
pip want install anaconda use create environment,neutral
sorry delay one pretty easy pas pas instead function path image hope suck much time,positive
think another path set ie,neutral
work like must temporary local issue,neutral
docker functionality chiefly docker potential support tell looking probably bit rabbit hole really best bet might try get get walk might take back generally lot success,positive
thank reply figured would case regarding may look lightning multiple said easy set many day many amazing ai basically black white show going colorize bunch going take lot time get able time speed even ca run parallel also image amazing actually well resolution made individual since already video may try process frame colorization test single frame impressive thanks great project unfortunately ca attach show difference,positive
set multiple actually ordered go along set code unfortunately could theoretically would require extra work research would also image seem better quality video yes generally going case due design image going colorful video model going conservative trade interestingness color stability really seeing difference default setting two try depending looking go may see better color go probably get stable reason ca colorize file locally instead want run notebook local installation ability point local specifically set none go convention comment note make none read file directly without modification,positive
hey ran another issue reason ca colorize file locally instead version right done sometime audio file anyways file error message file exist really annoying wait several colorization error looking code seeing believe issue code file encode need information please let know would wait fail get copy message basically though file jeff may jeff wrote hey ca seem find documentation whether run multiple running possible set run one possibly running lightning also image seem better quality video see time face top head hat hand still show gray get better video quality really seeing difference default setting quite bit time convert would like get best speed quality possible spend another converting three jeff mon may antic wrote awesome project well tell definitely need change admittedly tricky corrected ordered incorrectly may causing go instead import device import import import import torch far whether work work officially meaning enter risk used reply directly view id,positive
hey ca seem find documentation whether run multiple running possible set run one possibly running lightning also image seem better quality video see time face top head hat hand still show gray get better video quality really seeing difference default setting quite bit time convert would like get best speed quality possible spend another converting three jeff mon may antic wrote awesome project well tell definitely need change admittedly tricky corrected ordered incorrectly may causing go instead import device import import import import torch far whether work work officially meaning enter risk used reply directly view id,positive
one question code provided import device import import import import torch set multiple actually ordered go along,neutral
would consider benefit bug forever someone least try wish maybe add comment code people know run single image conversion would time wise even well tried run got error window pop like library python maybe investigate little almost everything working anyways since forced run could figure get see external would running everything via win,positive
awesome project well tell definitely need change admittedly tricky corrected ordered incorrectly may causing go instead import device import import import import torch far whether work work officially meaning enter risk used,positive
believe script made since notebook thinking something notebook get terminal quite frankly happy finally got working thanks great tool curious use right three old channel check channel three script attached curious work get error got everything setup correctly library correctly,positive
