comment,sentiment
hi obtain used link content image tried converting script import import rest code saver restore sess ca go error recent call last file line module saver file line file line file line file line return file line file line type registered binary running locally make sure kernel registered binary running process note loading saved graph used done graph lazily registered module first give get working,positive
tried converting script import import rest code saver restore sess ca go error recent call last file line module saver file line file line file line file line return file line file line type registered binary running locally make sure kernel registered binary running process note loading saved graph used done graph lazily registered module first,positive
hi obtain used link content image,neutral
get magenta running together unfortunately bug apple acceleration acknowledge apple see forum post generation training conveniently may add acceleration training one without acceleration generation best work may find comment gist used pip install hi trying make magenta work mac list many regarding python version advance,positive
seeing support apple silicon able get working without issue pip install magenta working python compile couple would also like get working,positive
tried install magenta whole day thanks finally magenta wish comment could also help configuration python version git clone install first pip install pip install tried version would pip install set version said pip install file path,positive
due later forcing name edit comment line optional none,negative
thanks pull request like may first contribution open source project look pull request need sign contributor license agreement view invocation check information date status view section bottom pull request,positive
first wait open basic one would work type gave password set wait sec,positive
clone repository change prior worked use actively maintain every fix come along still actively,negative
hi try worked pip install pip install pip install,neutral
found really hacky way run magenta also work nearly basis install create virtual inside use extension open terminal pop terminal interact python image run regular install python python source pip install magenta pip install think pip pip install know know idea running notebook try,positive
happen still working would mind python version pip freeze know got working ago impossible state dependency thanks,negative
note correctly case content empty,negative
solve issue also run problem ca fix think problem likely issue python version awhile ago may done recently lot old longer work issue trying use jukebox awhile back really annoying allow multiple python virtual easily checked stack overflow like people luck manually python version able accomplish personally though link promising thread,positive
python issue could get work able successfully install magenta package mac got working,positive
solve issue also run problem ca fix think problem,neutral
hey could share solution got error resolved,neutral
well problem well none found worked,neutral
solve issue also run problem ca fix,neutral
forked project find problem function call right generation way removed generation longer part output,positive
digging back since trying get rid bug flag indeed work initial injection primer flag affect set true receive output primer twice initial injection primer happen way flag,positive
thank much got made work open anywhere go thanks,positive
get magenta working first new virtual environment running python update create magenta pip install magenta virtual environment shell hook activate magenta pip install magenta afterwards able use magenta example shell hook activate magenta work quite well activate environment shell hook activate magenta magenta command,positive
hi could install magenta successfully,positive
per thread pip install,neutral
new usually around minute audio training audio training could load dynamic library open object file file directory could load dynamic library open object file file directory warning would like use please make sure missing properly recent call last file line module import file line module import file line module import file line module import file line module import file line module import file line module loading package lazy loader file line module file line file line raise version probability version installation version please upgrade proceed model could load dynamic library open object file file directory could load dynamic library open object file file directory warning would like use please make sure missing properly recent call last file line module import file line module import file line module import file line module import file line module import file line module import file line module loading package lazy loader file line module file line file line raise version probability version installation version please upgrade proceed export complete zipping zip warning name zip error nothing try zip zipping complete also find model recent call last self none try self except support previous behaviour passing self find file raise find file,positive
prevent variable patch flag,neutral
end issue dependency able solve specifically two package python see full file still got similar make sure correct version already know one entering package name see multiple use one compatible current python version system always try find one give error step pip install path new change version consistent newly tell new version naming package pip install path magenta,positive
make work end thanks sorry proceed line work,negative
tried install magenta could run music transformer notebook locally environment create activate pip install notebook pip install pillow six wheel pip install magenta worry stuff minimal code unconditional generation python import import import class property self return true problem import import problem import estimator global global true print yield next next import decode list return decode import import realize order move around got two separate fix first one edit file line change import import line python try except end around actually faster ti task around,positive
think worked also trouble file basic hello exactly need modify code problem understand specific solution,positive
hi sorry quite new topic encounter issue total wheel building tried update work though know put file since many thank help really appreciate fix shall clone git clone zip file fix file run pip install think organization name something clone link,positive
actually found cause get error length extracted even pas false error still code true thanks insight understood error function incorrect input previous step please provide insight provide interpolate function appropriately,positive
provide like python version used version dependency package used used python mac o apple pro,neutral
provide like python version used version dependency package used,neutral
yes thing happening used work within last suddenly stopped,neutral
hey notebook broken know going way get notebook working attached image image,negative
solution manually install lastly install magenta without dependency pip install magenta,neutral
